,YEAR,EQ_PRIMARY,DEATHS,FOCAL_DEPTH,REGION_CODE,INJURIES,COUNTRY
5922,2015,5.8,2.0,33.0,South America,30.0,ARGENTINA
5923,2015,7.5,399.0,231.0,Asia,1770.0,AFGHANISTAN
5925,2015,5.3,1.0,14.0,South America,,VENEZUELA
5928,2015,6.5,2.0,11.0,Europe,4.0,GREECE
5931,2015,5.1,1.0,5.0,South America,3.0,VENEZUELA
5934,2015,7.2,2.0,22.0,Asia,,TAJIKISTAN
5935,2015,6.6,2.0,85.0,North America and Hawaii,,MEXICO
5936,2015,6.3,4.0,206.0,Asia,97.0,AFGHANISTAN
5937,2016,6.7,13.0,55.0,Asia,100.0,INDIA
5938,2016,5.6,1.0,4.0,Central and South Pacific,22.0,INDONESIA
5940,2016,6.3,1.0,12.0,Africa,26.0,MOROCCO
5941,2016,6.4,117.0,10.0,Asia,525.0,TAIWAN
5943,2016,6.6,6.0,212.0,Asia,5.0,AFGHANISTAN
5944,2016,6.9,2.0,136.0,Asia,170.0,MYANMAR (BURMA)
5945,2016,7.0,50.0,10.0,Asia,1500.0,JAPAN
5946,2016,7.8,663.0,17.0,South America,6274.0,ECUADOR
5949,2016,6.9,1.0,30.0,South America,162.0,ECUADOR
5951,2016,6.6,1.0,50.0,Asia,30.0,INDONESIA
5958,2016,5.5,9.0,8.0,South America,68.0,PERU
5961,2016,6.2,299.0,4.0,Europe,368.0,ITALY
5962,2016,6.8,4.0,82.0,Asia,20.0,MYANMAR (BURMA)
5964,2016,5.9,23.0,40.0,Africa,252.0,TANZANIA
5966,2016,5.4,1.0,13.0,Asia,14.0,SOUTH KOREA
5967,2016,4.8,8.0,10.0,Africa,,RWANDA
5968,2016,5.5,1.0,8.0,Central America,5.0,NICARAGUA
5969,2016,5.4,1.0,10.0,Asia,,PAKISTAN
5971,2016,6.1,1.0,10.0,Europe,,ITALY
5972,2016,6.6,2.0,9.0,Europe,20.0,ITALY
5974,2016,7.8,2.0,15.0,Central and South Pacific,,NEW ZEALAND
5977,2016,6.6,1.0,17.0,Asia,,CHINA
5978,2016,5.4,1.0,10.0,Asia,1.0,NEPAL
5979,2016,4.2,8.0,5.0,Europe,9.0,POLAND
5981,2016,6.2,1.0,10.0,South America,17.0,PERU
5982,2016,6.5,104.0,13.0,Asia,857.0,INDONESIA
5983,2016,6.0,1.0,18.0,Asia,,CHINA
5984,2016,7.8,1.0,40.0,Central and South Pacific,,SOLOMON ISLANDS
5987,2016,5.4,3.0,6.0,South America,47.0,ECUADOR
5989,2017,5.7,3.0,32.0,Asia,,INDIA
5991,2017,5.0,4.0,10.0,Middle East,4.0,IRAN
5992,2017,5.5,2.0,7.0,Asia,,MADAGASCAR
5993,2017,5.7,34.0,9.0,Europe,11.0,ITALY
5994,2017,7.9,3.0,135.0,Central and South Pacific,,PAPUA NEW GUINEA
5998,2017,6.5,8.0,15.0,Central and South Pacific,202.0,PHILIPPINES
6000,2017,5.7,1.0,11.0,Central and South Pacific,45.0,PHILIPPINES
6001,2017,5.1,2.0,10.0,Asia,36.0,MYANMAR (BURMA)
6004,2017,6.1,2.0,13.0,Middle East,11.0,IRAN
6006,2017,4.8,1.0,10.0,Central America,3.0,EL SALVADOR
6011,2017,5.4,8.0,8.0,Asia,23.0,CHINA
6013,2017,5.6,3.0,8.0,Middle East,400.0,IRAN
6014,2017,4.4,1.0,10.0,Africa,18.0,TANZANIA
6017,2017,6.3,1.0,12.0,Europe,15.0,GREECE
6018,2017,6.9,5.0,93.0,Central America,30.0,GUATEMALA
6019,2017,3.2,1.0,,Asia,1.0,NEPAL
6022,2017,6.5,4.0,11.0,Central and South Pacific,448.0,PHILIPPINES
6024,2017,6.4,1.0,44.0,South America,1.0,PERU
6025,2017,6.6,2.0,7.0,Middle East,500.0,TURKEY
6026,2017,5.4,1.0,99.0,South America,,CHILE
6027,2017,6.5,25.0,9.0,Asia,525.0,CHINA
6029,2017,5.6,1.0,41.0,South America,,PERU
6030,2017,5.8,1.0,32.0,South America,2.0,PERU
6031,2017,4.2,2.0,3.0,Europe,42.0,ITALY
6032,2017,5.0,2.0,17.0,Central and South Pacific,,PHILIPPINES
6033,2017,8.2,98.0,46.0,North America and Hawaii,251.0,MEXICO
6034,2017,7.1,369.0,39.0,North America and Hawaii,6000.0,MEXICO
6035,2017,6.1,5.0,10.0,North America and Hawaii,7.0,MEXICO
6038,2017,6.1,1.0,6.0,Central and South Pacific,,INDONESIA
6040,2017,7.3,630.0,19.0,Middle East,12900.0,IRAN
6041,2017,6.5,2.0,19.0,Central America,,COSTA RICA
6044,2017,5.8,1.0,8.0,Central and South Pacific,,INDONESIA
6050,2017,6.5,4.0,92.0,Asia,36.0,INDONESIA
6051,2017,4.9,2.0,10.0,Middle East,115.0,IRAN
6052,2017,4.0,1.0,10.0,Middle East,57.0,IRAN
6058,2018,7.1,2.0,36.0,South America,139.0,PERU
6059,2018,6.0,1.0,44.0,Asia,11.0,INDONESIA
6061,2018,6.1,2.0,191.0,Asia,15.0,AFGHANISTAN
6062,2018,5.2,1.0,19.0,Asia,,ECUADOR
6063,2018,6.4,17.0,11.0,Asia,291.0,TAIWAN
6064,2018,7.2,13.0,25.0,North America and Hawaii,,MEXICO
6065,2018,7.5,145.0,23.0,Central and South Pacific,300.0,PAPUA NEW GUINEA
6066,2018,6.1,1.0,16.0,Central and South Pacific,,PAPUA NEW GUINEA
6067,2018,6.0,11.0,10.0,Central and South Pacific,,PAPUA NEW GUINEA
6068,2018,6.7,25.0,10.0,Central and South Pacific,,PAPUA NEW GUINEA
6071,2018,6.3,4.0,10.0,Central and South Pacific,,PAPUA NEW GUINEA
6074,2018,4.4,3.0,4.0,Asia,21.0,INDONESIA
6077,2018,2.1,7.0,,Africa,6.0,SOUTH AFRICA
6079,2018,4.1,5.0,10.0,Europe,2.0,POLAND
6084,2018,5.3,1.0,24.0,Asia,31.0,AZERBAIJAN
6085,2018,4.9,2.0,10.0,South America,,COLOMBIA
6086,2018,5.5,5.0,11.0,Asia,380.0,JAPAN
6087,2018,5.2,1.0,10.0,Asia,2.0,INDONESIA
6089,2018,6.4,17.0,6.0,Asia,355.0,INDONESIA
6090,2018,6.9,560.0,31.0,Asia,7733.0,INDONESIA
6091,2018,5.9,2.0,10.0,Asia,24.0,INDONESIA
6094,2018,6.3,2.0,8.0,Asia,1.0,INDONESIA
6095,2018,6.9,10.0,26.0,Asia,24.0,INDONESIA
6096,2018,7.3,5.0,154.0,Caribbean,,VENEZUELA
6097,2018,6.0,2.0,10.0,Middle East,267.0,IRAN
6099,2018,6.6,44.0,33.0,Asia,660.0,JAPAN
6101,2018,5.5,1.0,10.0,Middle East,2.0,IRAN
6103,2018,5.3,1.0,10.0,Asia,,INDIA
6104,2018,7.5,4340.0,10.0,Central and South Pacific,10679.0,INDONESIA
6105,2018,5.9,18.0,12.0,Caribbean,580.0,HAITI
6106,2018,6.0,4.0,9.0,Asia,36.0,INDONESIA
6109,2018,5.6,7.0,9.0,Central and South Pacific,,INDONESIA
6110,2018,6.3,1.0,10.0,Middle East,759.0,IRAN
6120,2019,3.8,1.0,2.0,Europe,6.0,POLAND
6121,2019,6.7,2.0,53.0,South America,,CHILE
6122,2019,3.4,1.0,10.0,Europe,8.0,POLAND
6123,2019,5.6,1.0,10.0,South America,,COLOMBIA
6124,2019,3.6,1.0,5.0,Asia,,INDIA
6127,2019,7.5,1.0,132.0,South America,9.0,ECUADOR
6128,2019,4.9,2.0,10.0,Asia,12.0,CHINA
6130,2019,7.0,1.0,257.0,South America,1.0,PERU
6131,2019,5.5,6.0,24.0,Asia,,INDONESIA
6132,2019,5.5,1.0,22.0,Africa,,TANZANIA
6133,2019,6.8,1.0,18.0,Asia,,INDONESIA
6134,2019,6.1,1.0,20.0,Asia,16.0,TAIWAN
6135,2019,6.1,18.0,20.0,Central and South Pacific,183.0,PHILIPPINES
6140,2019,8.0,2.0,110.0,South America,30.0,PERU
6141,2019,6.6,1.0,58.0,Central America,1.0,EL SALVADOR
6145,2019,5.8,13.0,10.0,Asia,200.0,CHINA
6147,2019,3.1,3.0,,Europe,6.0,POLAND
6148,2019,6.4,1.0,11.0,North America and Hawaii,,USA
6150,2019,5.7,1.0,10.0,Middle East,128.0,IRAN
6151,2019,5.6,1.0,24.0,Central and South Pacific,3.0,PHILIPPINES
6153,2019,7.3,8.0,10.0,Central and South Pacific,134.0,INDONESIA
6155,2019,3.8,1.0,10.0,Asia,,INDIA
6156,2019,6.0,9.0,10.0,Central and South Pacific,64.0,PHILIPPINES
6157,2019,6.9,6.0,53.0,Asia,3.0,INDONESIA
6158,2019,5.9,1.0,10.0,Asia,,TAIWAN
6160,2019,5.1,1.0,10.0,Asia,63.0,CHINA
6162,2019,5.6,39.0,10.0,Asia,746.0,PAKISTAN
6163,2019,6.5,31.0,18.0,Central and South Pacific,179.0,INDONESIA
6164,2019,5.7,1.0,10.0,Middle East,34.0,TURKEY
6165,2019,6.1,1.0,129.0,South America,,CHILE
6166,2019,6.8,1.0,11.0,South America,,CHILE
6167,2019,5.0,1.0,54.0,Central and South Pacific,2.0,INDONESIA
6168,2019,6.4,7.0,14.0,Central and South Pacific,215.0,PHILIPPINES
6169,2019,6.6,12.0,15.0,Central and South Pacific,417.0,PHILIPPINES
6170,2019,6.5,9.0,10.0,Central and South Pacific,,PHILIPPINES
6172,2019,5.0,2.0,50.0,Central and South Pacific,3.0,INDONESIA
6173,2019,7.1,1.0,33.0,Central and South Pacific,3.0,INDONESIA
6175,2019,5.0,1.0,10.0,Asia,4.0,CHINA
6176,2019,6.4,51.0,20.0,Europe,2000.0,ALBANIA
6177,2019,6.8,13.0,22.0,Central and South Pacific,210.0,PHILIPPINES
6179,2020,6.4,4.0,10.0,Caribbean,,USA TERRITORY
6180,2020,6.0,1.0,6.0,Asia,2.0,CHINA
6181,2020,6.7,41.0,12.0,Middle East,1600.0,TURKEY
6183,2020,6.0,10.0,10.0,Middle East,60.0,IRAN
6186,2020,5.4,1.0,10.0,Europe,27.0,CROATIA
6190,2020,4.6,2.0,10.0,Middle East,22.0,IRAN
6191,2020,5.2,4.0,10.0,Asia,24.0,CHINA
