I_D,FLAG_TSUNAMI,YEAR,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS
5394,Yes,1994,7.1,PHILIPPINES,PHILIPPINES:  MINDORO,13.525,121.067,170,81
5395,No,1994,5.5,USA,"CALIFORNIA:  EUREKA, SAMOA, ARCATA, BLUE LAKE",40.741,-124.31,150,
5397,Yes,1994,7.8,JAPAN,JAPAN:  HONSHU,40.525,143.419,30,3
5398,No,1994,5.3,CHINA,"CHINA:  GUANGXI PROVINCE, GUANDONG PROVINCE",20.524,109.33,30,
5399,Yes,1995,6.9,JAPAN,"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA",34.583,135.018,30,5502
5402,No,1995,6.5,COLOMBIA,"COLOMBIA:  BOGOTA, MANIZALES, MIRAFLORES",5.05,-72.916,160,7
5403,No,1995,7.1,NEW ZEALAND,NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH,-37.759,178.752,170,
5404,No,1995,6.4,COLOMBIA,"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA",4.104,-76.622,160,45
5405,No,1995,5.9,CYPRUS,"CYPRUS:  PAPHOS, NICOSIA, ARODHES, PERISTERONA",35.046,32.279,130,2
6491,No,1995,6.9,INDONESIA,INDONESIA:  IRIAN JAYA REGION,-4.183,135.109,170,
5406,No,1995,5.4,JAPAN,"JAPAN:  NIIGATA PREFECTURE, SADO",37.925,139.186,30,
5407,Yes,1995,7.4,SAMOA,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE,-15.199,-173.529,170,
6492,Yes,1995,7.2,PHILIPPINES,PHILIPPINES:  SAMAR,12.059,125.58,170,
6493,Yes,1995,6.8,PHILIPPINES,PHILIPPINES:  SAMAR,12.047,125.92,170,
5408,Yes,1995,6.6,GREECE,"GREECE:  GREVENA-KOZANI, THESSALONIKI, YUGOSLAVIA",40.149,21.695,130,
5410,Yes,1995,6.9,INDONESIA,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049,60,
5411,Yes,1995,7.7,NEW CALEDONIA,NEW CALEDONIA:  NOUMEA; VANUATU:  PORT-VILA,-23.008,169.9,170,
5412,Yes,1995,7.1,RUSSIA,"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO",52.629,142.827,50,1989
5413,Yes,1995,6.5,GREECE,"GREECE:  AIYION, ERATINI",38.401,22.283,130,26
