I_D,FLAG_TSUNAMI,YEAR,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS
2566,No,1900,7.8,JAPAN,JAPAN:  SEA OF JAPAN,36.5,133.5,30,
2569,No,1900,7.4,MEXICO,MEXICO,20,-105,150,
2571,No,1900,7.8,MEXICO,MEXICO:  NEAR COAST OF JALISCO,20,-105,150,
2573,No,1900,7.5,COSTA RICA,COSTA RICA,10,-85.5,100,
2574,No,1900,5.9,TURKEY,"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR",40.3,43.1,140,140
2575,No,1900,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10,165,170,
6232,Yes,1900,6.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-4,152,170,
6234,Yes,1900,7.1,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  RABAUL HARBOR,-5,148,170,
2577,No,1900,7.9,COLOMBIA,COLOMBIA,4.6,-74,160,
6574,Yes,1900,6.9,INDONESIA,INDONESIA:  NW. IRIAN JAYA,-4,140,170,
2580,No,1900,8.3,USA,ALASKA:  KODIAK ISLAND,57.09,-153.48,150,
2583,Yes,1900,8.4,VENEZUELA,VENEZUELA:  MACUTO,11,-66,90,25
2586,No,1900,7.9,RUSSIA,RUSSIA:  KURIL ISLANDS,43,146,50,
2587,No,1901,7.8,ECUADOR,ECUADOR:  ESMERALDAS,-2,-82,160,
2588,No,1901,6,CHINA,CHINA:  YUNNAN PROVINCE,26,100.1,30,
7018,Yes,1901,6.4,USA,CALIFORNIA:  SAN DIEGO,36,-120.5,150,
2589,No,1901,6.4,BULGARIA,"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU",43.4,28.7,110,4
9778,Yes,1901,7.2,BULGARIA,BULGARIA:  BALCHIK,43.4,28.5,110,4
2591,No,1901,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,45,148,50,
2592,Yes,1901,7.9,JAPAN,JAPAN:  RYUKYU ISLANDS,27,130,30,
2594,Yes,1901,7.9,JAPAN,JAPAN:  OFF NORTHEAST COAST HONSHU,40.5,142.5,30,
2595,Yes,1901,7.9,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-22,170,170,
2596,Yes,1901,8.2,JAPAN,JAPAN:  OFF NORTHEAST COAST HONSHU,40.6,142.3,30,18
2597,Yes,1901,6.3,JAPAN,JAPAN:  OFF NORTHEAST COAST HONSHU,40.5,142.5,30,
9352,Yes,1901,7,NICARAGUA,NICARAGUA,11,-86.5,100,
2599,No,1901,6.1,TURKEY,"TURKEY:  HASANKALE,HINS,ERZURUM",40,41.5,140,
2601,No,1901,7.8,PHILIPPINES,PHILIPPINES:  LUZON,14,122,170,
2602,No,1901,5.9,TURKEY,"TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS",39.4,26.7,140,
2603,Yes,1901,7.8,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.45,-171.02,150,
2606,No,1902,7.8,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5,150,
2608,No,1902,7,MEXICO,MEXICO:  GUERRERO,17.6,-99.7,150,2
8773,Yes,1902,6.3,GUATEMALA,"GUATEMALA:  SAN MARTIN, QUEZALTENANGO",14.71,-91.59,100,
2610,No,1902,7.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-8,150,170,
2612,No,1902,7.8,TONGA,TONGA ISLANDS,-20,-174,170,
2613,No,1902,6.9,AZERBAIJAN,AZERBAIJAN:  SEMACHA; N IRAN,40.7,48.6,40,86
2614,Yes,1902,7,EL SALVADOR,EL SALVADOR-GUATEMALA,13.5,-89.5,100,
2615,No,1902,5.5,TURKEY,TURKEY:  CANKIRI,40.7,33.6,140,4
2618,Yes,1902,7.5,GUATEMALA,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS",14,-91,100,2000
2622,No,1902,8,RUSSIA,RUSSIA:  SEA OF OKHOTSK,50,148,50,
2623,Yes,1902,6.6,TURKEY,TURKEY:  THESSALONIKI,40.75,23.25,140,
2626,Yes,1902,7.3,PHILIPPINES,"PHILIPPINES:  MINDANAO:  LANAO, COTABATO",7.5,123.5,170,
2631,No,1902,7.7,CHINA,"CHINA:  XINJIANG, TURKESTAN",39.88,76.2,40,2500
8116,No,1902,5.5,CHINA,CHINA:   YUNNAN PROVINCE,26.3,99.9,30,6
2634,No,1902,8.1,USA TERRITORY,GUAM:  AGANA,18,146,170,
2635,No,1902,7.8,MEXICO,"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",16.6,-92.6,150,
2637,No,1902,7.8,MEXICO,MEXICO:  BAJA CALIFORNIA,29,-114,150,
2640,No,1902,6.4,UZBEKISTAN,UZBEKISTAN:   ANDIZHAN,40.8,72.3,40,4880
2641,No,1903,8,TONGA,TONGA ISLANDS,-20,-175,170,
2642,No,1903,7.7,MEXICO,MEXICO:  OFF COAST OF GUERRERO,15,-98,150,
2644,No,1903,7.8,MONGOLIA,MONGOLIA,48,98,40,
2645,No,1903,8.1,INDONESIA,INDONESIA:  S OF JAVA,-8,106,60,
2646,No,1903,5.7,ISRAEL,ISRAEL:  NABULUS,32.2,35.3,140,20
6237,Yes,1903,6.5,INDONESIA,"INDONESIA:  TIFU, MASARETE, KAJELI",-3,127.5,170,
2649,No,1903,6.3,TURKEY,TURKEY:  MALAZGIRT,39.1,42.5,140,3560
2652,No,1903,7.9,VANUATU,VANUATU ISLANDS,-17,168,170,
2653,No,1903,5.8,TURKEY,"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK",40.9,42.7,140,1000
2656,Yes,1903,8.3,USA,ALASKA:  SOUTHWEST,61.56,-158.54,150,
2658,No,1903,7.7,COLOMBIA,COLOMBIA,4.6,-74,160,
2660,No,1903,7.8,GREECE,GREECE:  MITATA (KYTHERA),36,23,130,2
2664,No,1903,6.5,IRAN,IRAN:  KASHMAR,35.2,58.2,140,350
6239,Yes,1903,6.5,CHILE,"CHILE:  VALLENAR, FREIRINA",-28.5,-71,160,
2665,No,1903,7.8,PHILIPPINES,PHILIPPINES:  DAVAO GULF,7,126,170,
2666,Yes,1904,7.9,COLOMBIA,PANAMA-COLOMBIA,7,-79,160,
2667,No,1904,7.6,JAPAN,JAPAN:  HOKKAIDO,42.5,145.8,30,
2670,No,1904,7.5,BULGARIA,BULGARIA:  STRUMA,41.8,23.2,110,
2671,No,1904,7.8,BULGARIA,BULGARIA:  STRUMA,41.8,23.2,110,
7991,No,1904,6,TAIWAN,TAIWAN:  JIAYI,23.5,120.5,30,3
2676,No,1904,7.9,JAPAN,JAPAN:  SEA OF JAPAN,40,134,30,
2678,Yes,1904,8.3,RUSSIA,RUSSIA:  OFF KAMCHATKA,52,159,50,
2679,Yes,1904,8.1,RUSSIA,RUSSIA:  OFF KAMCHATKA,52,159,50,
2682,No,1904,7.9,RUSSIA,RUSSIA:  OFF KAMCHATKA,52,159,50,
2683,Yes,1904,7.5,NEW ZEALAND,NEW ZEALAND:  E OF NORTH ISLAND,-40.5,177,170,
2684,No,1904,6.2,GREECE,"GREECE:  SAMOS, PATMOS",37.75,27,130,4
2688,No,1904,7.9,JAPAN,JAPAN:  KYUSHU,30,130,30,
2690,No,1904,8.3,USA,ALASKA:  RAMPART,64.66,-148.08,150,
2694,No,1904,6,CHINA,CHINA:  SICHUAN PROVINCE,31.2,100.9,30,400
2695,No,1904,7.7,ECUADOR,ECUADOR,-1,-80.5,160,
2696,No,1904,6.3,TAIWAN,TAIWAN:  JIAYI,23.5,120.3,30,145
2700,Yes,1904,7.2,PANAMA,PANAMA:  BOCAS DEL TORO,9.2,-82.8,100,
10144,Yes,1905,6.8,COSTA RICA,COSTA RICA:  PUNTARENAS,9.85,-84.68,100,
2702,No,1905,8.4,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,1,123,170,
2703,No,1905,7.9,USA,ALASKA:  ANDREANOF ISLANDS,50.73,-178.55,150,
2707,No,1905,7.5,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-27.5,-173,170,
2709,Yes,1905,7.8,INDIA,INDIA:  KANGRA,33,76,60,19000
2710,No,1905,6.5,TURKEY,TURKEY,40.2,29,140,
2713,No,1905,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-4,149,170,
2715,No,1905,6.6,ALBANIA,ALBANIA:  SHKODER,42.1,19.6,130,120
2717,No,1905,7.8,JAPAN,JAPAN:  AKI,34,132,30,11
2718,No,1905,7.6,KIRIBATI,KIRIBATI:  PHOENIX ISLANDS,-1,-168,170,
2719,Yes,1905,7,JAPAN,JAPAN:  OFF FUKUSHIMA,37.4,142.6,30,
2722,No,1905,8.4,MONGOLIA,MONGOLIA,49,99,40,
2726,No,1905,8.4,MONGOLIA,MONGOLIA,49,98,40,
2729,No,1905,7.5,JAPAN,JAPAN:  HOKKAIDO,45,143,30,
2732,Yes,1905,7.1,ITALY,"ITALY:  MONTELEONE, TROPEA, MONTE PORO",38.67,16.07,130,557
2735,No,1905,7.8,RUSSIA,RUSSIA:  KOMANDORSKY ISLAND,53,164,50,
6506,Yes,1905,5.1,RUSSIA,RUSSIA:  BLACK SEA,44.5,37.5,40,
2736,No,1905,6.4,BULGARIA,BULGARIA,42,23,110,
2737,Yes,1905,7.5,GEORGIA,GEORGIA:  CAUCASUS,42,42,40,
8109,No,1905,5,CHINA,CHINA:  SICHUAN PROVINCE,29.3,104.8,30,13
2739,Yes,1905,7.2,GREECE,GREECE:  AEGEAN SEA,40.092,24.627,130,
2743,No,1905,6.8,TURKEY,"TURKEY:  PUTURGE,CELIKHAN,RUMKALE",38.1,38.6,140,
6245,Yes,1905,6.5,PHILIPPINES,PHILIPPINES:  W. LUZON ISLAND:  TUBURAN,11,123.5,170,
7992,No,1906,5.5,CHINA,CHINA:  YUNNAN PROVINCE,26.6,104.1,30,
2744,No,1906,8.4,JAPAN,JAPAN:  NEAR S COAST HONSHU,34,138,30,
2748,Yes,1906,8.6,ECUADOR,ECUADOR:  OFF COAST,1,-81.5,160,1000
2753,No,1906,7.7,COLOMBIA,COLOMBIA,3.5,-76.2,160,
2757,No,1906,6.5,ALBANIA,ALBANIA:   ELBASAN,41.1,20,130,
2762,No,1906,6.8,TAIWAN,TAIWAN:  JIAYI,23.6,120.5,30,1258
8110,No,1906,6.5,CHINA,CHINA:  FUJIAN PROVINCE,24.5,118.5,30,
2764,No,1906,7.5,MEXICO,MEXICO:  REVILLA GIGEDO ISLANDS,19,-113.8,150,
2766,No,1906,6.5,TAIWAN,TAIWAN:  JIAYI,23.4,120.4,30,15
2768,Yes,1906,7.9,USA,CALIFORNIA:  SAN FRANCISCO,37.67,-122.48,150,700
2771,No,1906,5.3,CHINA,CHINA:  YUNNAN PROVINCE,24.6,98.6,30,1
2772,No,1906,7.7,COLOMBIA,COLOMBIA,4.6,-74,160,
2773,No,1906,7.7,COLOMBIA,COLOMBIA,4.6,-74,160,
2777,No,1906,7.8,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.05,179.69,150,
2779,Yes,1906,8.2,CHILE,CHILE:  SOUTH CENTRAL,-33,-72,160,4000
2780,No,1906,6.8,ETHIOPIA,ETHIOPIA:  SHOA,9,38.4,10,
2782,Yes,1906,8,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-7,149,170,
2784,No,1906,7.9,ECUADOR,ECUADOR,-2,-79,160,
2787,Yes,1906,7.2,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-4,149,170,
2788,No,1906,7.8,AUSTRALIA,AUSTRALIA:  WEST COAST,-22,109,60,
2789,Yes,1906,5,GHANA,"GHANA:  HO, AKPAFU, PALIME, MISA, ACCRA; TOGO",6.5,0.3,10,
2790,No,1906,7.9,MARTINIQUE,MARTINIQUE,15,-61,90,
2794,No,1906,8.3,CHINA,CHINA:  XINJIANG PROVINCE,43.5,85,40,280
2796,No,1906,7.6,USA,ALASKA:  ALEUTIAN ISLANDS,56.85,-153.9,150,
2798,Yes,1906,7.9,PERU,PERU:  OFF SOUTH COAST,-18,-71,160,
2800,Yes,1907,7.8,INDONESIA,"INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS",2,94.5,60,
2801,Yes,1907,6.5,JAMAICA,JAMAICA:  KINGSTON,18.2,-76.8,90,1000
2803,No,1907,7.6,PERU,PERU,-13.2,-75.4,160,
6246,Yes,1907,7.3,INDONESIA,INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND,3,122,170,
2804,Yes,1907,8.3,MEXICO,MEXICO:  GUERRERO,17,-100,150,8
2807,No,1907,7.6,PHILIPPINES,PHILIPPINES:  SE LUZON:  CAMARINES,14,123,170,2
7866,No,1907,7.4,PHILIPPINES,PHILIPPINES:  SE LUZON:  CAMARINES,13.5,123,170,
2808,No,1907,7.7,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-7.5,153.7,170,
2810,No,1907,7.9,RUSSIA,RUSSIA:  SEA OF OKHOTSK,51.5,147,50,
2813,No,1907,7.9,INDONESIA,INDONESIA:  DJAILOLO GILOLO,1,127,170,
2815,No,1907,6.2,ALBANIA,ALBANIA,41.1,20.1,130,
2816,No,1907,7.8,USA,ALASKA:  ALEUTIAN ISLANDS,52.59,-169.73,150,
8053,Yes,1907,5.5,USA,ALASKA:  SKAGWAY,59.5,-135.5,150,
2819,No,1907,7.7,MEXICO,MEXICO:  GULF OF CALIFORNIA,28,-112.5,150,
2821,No,1907,7.4,TAJIKISTAN,TAJIKISTAN:   KARATAG,38.5,67.9,40,12000
2827,Yes,1907,5.9,ITALY,ITALY:  FERRUZANO,38.133,16.017,130,158
6249,Yes,1907,7.4,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-3.1,142.5,170,
6250,Yes,1908,7.5,INDONESIA,SW. SUMATRA,-2,100,60,
6251,Yes,1908,6,USA,ALASKA:  GULF OF ALASKA,61,-146.2,150,
2832,No,1908,7.5,PHILIPPINES,PHILIPPINES:  MINDANAO,9,126,170,
7527,Yes,1908,6.6,INDONESIA,INDONESIA:  TIMOR,-10,129,60,
2833,No,1908,8.1,MEXICO,MEXICO:  GUERRERO,18,-99,150,
2835,No,1908,7.5,MEXICO,MEXICO:  GUERRERO,17,-101,150,
2836,No,1908,7.5,INDONESIA,INDONESIA:  CELEBES SEA,3,123,170,
6252,Yes,1908,6.8,USA,HAWAII,19,-155,150,
2838,No,1908,7,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36.5,70.5,40,
2840,No,1908,7.6,RUSSIA,RUSSIA:  KURIL ISLANDS,45,150,50,
2842,No,1908,7.2,MYANMAR (BURMA),MYANMAR (BURMA):  KACHIN,26.639,96.866,60,
2846,Yes,1908,7,ITALY,"ITALY:  MESSINA, SICILY, CALABRIA",38.17,15.58,130,78000
2849,No,1909,5.8,TURKEY,"TURKEY:  FOCA,MENEMEN,GUZELHISAR",38.6,26.9,140,8
2850,No,1909,7.7,IRAN,IRAN:  SILAKOR,33,50,140,5500
2854,No,1909,6.3,TURKEY,"TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS",40.2,37.8,140,
2856,No,1909,7.8,FIJI,FIJI ISLANDS,-18,-179,170,
6253,Yes,1909,6.7,JAPAN,JAPAN:  CHOSHI,34.5,141.5,30,
2857,Yes,1909,7.5,JAPAN,JAPAN:  YOKOHAMA,34.5,141.5,30,
2860,No,1909,7.8,USA,ALASKA:  ALEUTIAN ISLANDS,52,175,150,
2861,No,1909,7.3,TAIWAN,TAIWAN:  TAIPEI,25,121.5,30,9
2864,No,1909,6.6,PORTUGAL,"PORTUGAL:  RIBATEJO, BENAVENTE",38.9,-8.8,130,30
2866,No,1909,6.5,CHINA,CHINA:  YUNNAN PROVINCE,24.4,103,30,21
2868,Yes,1909,7.6,INDONESIA,"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG",-2,101,60,
2871,Yes,1909,7.6,CHILE,CHILE,-26.5,-70.5,160,
2867,No,1909,6.2,FRANCE,"FRANCE:  VERNEGUES,CHARLEVAL,LA ROQUE D'ANTHERON",43.7,5.4,120,40
2876,No,1909,8.1,AFGHANISTAN,AFGHANISTAN:  HINDU-KUSH,36.5,70.5,40,
2881,No,1909,5.7,GREECE,GREECE:  CHAVARI (ELIS),37.9,21.5,130,
2884,Yes,1909,7.8,MEXICO,MEXICO:  ACAPULCO,16.8,-99.8,150,
2886,Yes,1909,6.9,JAPAN,JAPAN:  OOMI,35.4,136.3,30,41
2889,No,1909,7.2,PAKISTAN,PAKISTAN,30,68,60,231
2891,No,1909,5.8,TURKEY,TURKEY:  KOGLACIK,40.3,29.6,140,
2892,No,1909,4.7,MEXICO,"MEXICO:  GUERRERO,MICHOACAN",17,-101.2,150,
2893,No,1909,7.9,JAPAN,JAPAN:  KYUSHU,32,131,30,
7993,No,1909,7.3,TAIWAN,TAIWAN,24.4,121.8,30,4
2895,No,1909,7.7,SOLOMON ISLANDS,SOLOMON ISLANDS,-10,165,170,
2894,Yes,1909,8,USA TERRITORY,GUAM,12.5,145,170,
2898,No,1910,7.5,HONDURAS,HONDURAS,17,-85,90,
2899,No,1910,6.8,CHINA,CHINA:  YELLOW SEA,35,122,30,
2900,No,1910,7.4,JAPAN,JAPAN:  HONSHU:  S OF,33,138.5,30,
7464,Yes,1910,6,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  MATUPI HARBOR,-4.25,152.25,170,
2901,No,1910,7.8,TAIWAN,TAIWAN,25.5,122.5,30,60
2905,No,1910,7.5,JAPAN,JAPAN:  HOKKAIDO,42,145,30,
2906,No,1910,7.5,VANUATU,VANUATU ISLANDS,-20,169,170,
2908,No,1910,5.9,ITALY,ITALY:  CALITRI,40.9,15.4,130,
2909,No,1910,7.9,VANUATU,VANUATU ISLANDS,-19,169.5,170,
2910,No,1910,6.4,ALGERIA,"ALGERIA:  MASQUERAY,  KABYLIA",36,4,15,12
2911,No,1910,6.1,TURKEY,"TURKEY:  HACIHAMZA,OSMANCIK,ISKILIP",40.9,34.6,140,
2912,No,1910,6.9,MEXICO,MEXICO:  OAXACA,16.8,-95.9,150,
9272,No,1910,7.9,VANUATU,VANUATU ISLANDS:  ESPIRITU SANTO,-16,166,170,
2914,Yes,1910,7.2,VANUATU,VANUATU ISLANDS:  ESPIRITU SANTO,-14,166.5,170,
2915,No,1910,8,SOLOMON ISLANDS,SOLOMON ISLANDS,-8,167,170,
2916,No,1910,7.3,ZAMBIA,ZAMBIA,-8,31,10,2
2917,No,1910,7.5,INDONESIA,INDONESIA:  TALAUD ISLANDS,4.5,126,170,
6576,Yes,1910,6.7,INDONESIA,INDONESIA:  SULAWESI-N. MOLUCCAS ISLANDS,4,127,170,
6541,Yes,1910,6.2,PHILIPPINES,PHILIPPINES:  SULU SEA,9,125.5,170,
2919,No,1911,7.7,KAZAKHSTAN,"KAZAKHSTAN:  ALMA-ATA, TURKESTAN",43.5,77.5,40,450
7994,No,1911,5.5,CHINA,CHINA:  HEBEI PROVINCE,39.8,114.5,30,
7868,No,1911,7.4,TAJIKISTAN,"TAJIKISTAN:  USOY, BARCHIDIV, POSOR, NISUR",38.2,72.8,40,90
2925,No,1911,6.7,GREECE,GREECE-ALBANIA,41.1,20.7,130,
2927,No,1911,6.7,IRAN,IRAN:  RAVAR,31.23,57.03,140,700
2928,No,1911,7.6,RUSSIA,RUSSIA:  NEAR KAMCHATKA,51.8,156,50,
8111,No,1911,5.5,CHINA,CHINA:  GUANGDONG PROVINCE,23,115.3,30,
2932,No,1911,7.9,MEXICO,MEXICO:  MICHOACAN,17.5,-102.5,150,45
2935,Yes,1911,8,JAPAN,JAPAN:  RYUKYU ISLANDS,28,130,30,12
2936,No,1911,7.6,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36,70.5,40,
2940,Yes,1911,7.8,PHILIPPINES,"PHILIPPINES:  MINDANAO:  TALACOGON,DAVAO,BUTUAN",9,126,170,
2941,No,1911,5,FRANCE,"FRANCE:  NAY,BENEJACQ,ARAMITS,ARROS,GAN,BOSDARROS",43.2,0.2,120,
2943,No,1911,7.7,"MICRONESIA, FED. STATES OF","MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS",7,137,170,
6256,Yes,1911,7.3,CHILE,CHILE:  NORTHERN,-20,-72,160,
10027,No,1911,6.9,USA,ALASKA:  PRINCE WILLIAM SOUND,60.5,-149,150,
2944,No,1911,4.3,ITALY,ITALY:  ETNA,37.7,15.2,130,
2946,No,1911,7.6,MEXICO,MEXICO:  NEAR COAST OF GUERRERO,17,-100.7,150,
2948,No,1912,7,GREECE,GREECE:  ASPROGERAKAS (KEPHALLENIA),38,20.5,130,
2949,No,1912,7.5,ICELAND,ICELAND,64,-20,120,
2953,No,1912,8,MYANMAR (BURMA),"MYANMAR (BURMA):  MANDALAY, MOGOK, MAYMYO",21,97,60,
6257,Yes,1912,6.6,JAPAN,"SANRIKU, JAPAN",40.5,142,30,
2954,No,1912,7,PERU,"PERU:  HUANCABAMBA,CAJAMARCA; ECUADOR:  GUAYAQUIL",-5.62,-80.413,160,
2955,Yes,1912,7.8,TURKEY,TURKEY:  MARMARA SEA,40.5,27.2,140,3000
2963,No,1912,7.5,"MICRONESIA, FED. STATES OF","MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS",7,138,170,
6258,Yes,1912,6.9,"MICRONESIA, FED. STATES OF","MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS",7,138,170,
2964,No,1912,7.5,USA,ALASKA:  ALASKA PENINSULA,57.5,-155,150,
2966,No,1912,7.8,MEXICO,"MEXICO:  CENTRAL, ACAMBAY, TIXMADEJE",19.9,-99.8,150,
2967,No,1912,7.5,ARGENTINA,ARGENTINA:   SANTIAGO DEL ESTERO PROVINCE,-29,-62.5,160,
2969,No,1913,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,46,152,50,
6259,Yes,1913,6.8,NEW ZEALAND,TASMAN SEA,-41.8,171.5,170,
2970,No,1913,7.7,ECUADOR,"ECUADOR:  GONZANAMA, SAN PEDRO, MOLLETURE",-3.4,-79.6,160,
2973,Yes,1913,7.8,INDONESIA,INDONESIA:  SANGIHE ISLAND,5.354,126.121,170,138
2974,No,1913,5.8,IRAN,IRAN:  TEYHAN,26.8,53.7,140,11
2975,No,1913,7.7,PHILIPPINES,PHILIPPINES,9.5,127.8,170,
2976,No,1913,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SOLOMON ISLANDS,-5,154,170,
2979,No,1913,6.8,BULGARIA,BULGARIA:  TIRNOVO,43.5,25.5,110,
2982,No,1913,7.6,TONGA,TONGA ISLANDS,-20,-174,170,
6260,Yes,1913,7,PERU,PERU:  AREQUIPA,-16.6,-73.3,160,
2985,No,1913,7.7,RUSSIA,RUSSIA:  KURIL ISLANDS,47.5,155.5,50,
2987,Yes,1913,7.9,PERU,"PERU:  CARAVELI, CHUQUIBAMBA, OCONA, ATICO",-17,-74,160,
2984,No,1913,6,CHINA,CHINA:  SICHUAN PROVINCE,28.4,102.3,30,
10279,Yes,1913,6.7,PANAMA,PANAMA: AZUERO PENINSULA,7.1,-80.6,100,
6261,Yes,1913,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-7,148,170,
2989,No,1913,8.1,VANUATU,VANUATU ISLANDS,-19.5,169,170,
2990,No,1913,6.3,PERU,"PERU:  AMYARAES, ABANCAY, CASAYA, SORAYA",-14.2,-72.9,160,150
2992,No,1913,7.5,VANUATU,VANUATU ISLANDS,-18,169,170,
2993,No,1913,7,CHINA,CHINA:  YUNNAN PROVINCE,24.15,102.45,30,942
2994,Yes,1914,7.1,JAPAN,JAPAN:  SAKURIJIMA,31.58,130.67,30,29
2997,No,1914,7.6,CHILE,CHILE:  OFF CENTRAL COAST,-35,-73,160,
6578,Yes,1914,7.2,PERU,PERU:  AREQUIPA,-17,-72,160,
2999,No,1914,7.2,JAPAN,JAPAN:  SENHOKU,39.2,139.8,30,94
3001,No,1914,7.5,MEXICO,MEXICO:  CHIAPAS,16.8,-92.2,150,
3002,No,1914,4.9,ITALY,"ITALY:  CATANIA, ETNA",37.7,15.2,130,120
3005,Yes,1914,8.1,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN,-1.829,136.943,170,
3007,No,1914,5.6,TURKEY,TURKEY:  GEMEREK,39.2,36,140,
3008,No,1914,5.8,ECUADOR,ECUADOR:  MONTE PULLERINA,-0.2,-78.2,160,
3010,Yes,1914,7.6,INDONESIA,INDONESIA:  SUMATERA,-3.924,101.82,60,20
3012,No,1914,7.5,CHINA,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG),43.5,91.5,40,1
3016,No,1914,7,TURKEY,"TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA",37.82,30.27,140,4000
7869,No,1914,6,GREECE,GREECE:  THEBES,38.25,23.25,130,
3019,No,1914,7.6,PALAU,"MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS",6,132.5,170,
3020,No,1914,8.1,JAPAN,JAPAN:  VOLCANO ISLANDS,22,143,30,
3021,Yes,1914,6.3,GREECE,GREECE:  LEUKAS ISLAND,38.8,20.6,130,14
3025,No,1915,7.5,ITALY,"ITALY:  MARSICA, AVEZZANO, ABRUZZI",42,13.5,130,29978
3028,No,1915,7.7,JAPAN,JAPAN:  SW RYUKYU ISLANDS,23.6,123.5,30,
3029,No,1915,8.1,RUSSIA,RUSSIA:  KURIL ISLANDS,47,155,50,
3032,No,1915,7.6,PERU,PERU:  S,-18.5,-68.5,160,
3033,No,1915,6.2,USA,CALIFORNIA:  EL CENTRO,32.8,-115.5,150,6
3034,No,1915,7.3,RUSSIA,RUSSIA:  OFF KAMCHATKA,53.5,163.3,50,
6579,Yes,1915,6.7,GREECE,"GREECE:  KEFALLONIA ISLAND, ITHACA ISLAND",38.5,20.7,130,
3037,Yes,1915,7.9,EL SALVADOR,EL SALVADOR,14,-89,100,
3038,No,1915,7.6,USA,NEVADA:  PLEASANT VALLEY,40.5,-117.5,150,
3041,Yes,1915,7.8,JAPAN,JAPAN:  NEAR E COAST HONSHU,38.3,142.9,30,
6542,Yes,1915,6,INDONESIA,INDONESIA:  NW. IRIAN JAYA,-1,136,170,
6314,Yes,1915,6.4,PHILIPPINES,PHILIPPINES:  W. LUZON ISLAND,18,119.5,170,
7995,No,1915,7,CHINA,CHINA:  TIBET (XIZANG PROVINCE),29.5,91.5,40,170
3023,No,1915,6.6,EL SALVADOR,"EL SALVADOR:  AHUACHAPAN,ATACO,APANECA",14.56,-88.76,100,
3043,Yes,1916,7.9,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SOLOMON ISLANDS,-4.739,152.548,170,
3046,No,1916,8.1,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3,136,170,
3047,No,1916,8.1,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-3,135.5,170,
3049,No,1916,7.8,TURKEY,TURKEY,41,37,140,
3050,No,1916,8,JAPAN,JAPAN:  DUDA,29.5,131.5,30,
3051,No,1916,7.7,USA,ALASKA:  ALEUTIAN ISLANDS,48.5,178.5,150,
3052,No,1916,7.5,NICARAGUA,NICARAGUA:  OFF COAST,11,-86,100,
3053,No,1916,7.5,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.3,-170,150,
3054,No,1916,7.8,JAPAN,JAPAN:  OFF EAST COAST HONSHU,33,141,30,
